347877.407694, 3450730.025276, -1.640294, 5254159
347877.474939, 3450730.030083, -1.638822, 5255540
347877.439316, 3450730.087990, -1.774905, 5254160
347877.425476, 3450730.306602, -1.749927, 5254162
347877.394544, 3450730.158745, -1.658210, 5252750
347877.415659, 3450730.221580, -1.652329, 5254161
347877.488716, 3450730.322578, -1.644318, 5255542
347877.474056, 3450730.197960, -1.653238, 5255541
347877.424276, 3450730.355766, -1.642551, 5254163
347878.210310, 3450730.224449, -1.933329, 5277323
347878.027202, 3450730.288856, -2.011728, 5271422
347878.416025, 3450730.024757, -2.023296, 5283270
347877.550442, 3450729.976066, -1.687630, 5258387
347877.741388, 3450730.039970, -1.634025, 5262636
347877.727531, 3450730.105644, -1.735262, 5262637
347877.600761, 3450729.961174, -1.687296, 5259786
347877.540829, 3450730.027290, -1.638063, 5256969
347877.675010, 3450730.038124, -1.635131, 5261230
347877.606701, 3450730.024711, -1.637307, 5259787
347877.626108, 3450730.096199, -1.721090, 5259788
347877.623886, 3450730.300331, -1.644108, 5259789
347877.535557, 3450730.190162, -1.652633, 5256970
347877.525444, 3450730.281135, -1.710494, 5256971
347877.538790, 3450730.350548, -1.727732, 5256972
347877.786758, 3450730.125206, -1.702156, 5264101
347877.664337, 3450730.206581, -1.648399, 5261231
347877.693805, 3450730.307335, -1.642473, 5261232
347877.785824, 3450730.184715, -1.647963, 5264102
347877.764627, 3450730.322517, -1.640159, 5264103
347877.717029, 3450730.254463, -1.660663, 5262639
347877.722950, 3450730.183784, -1.649316, 5262638
347877.761896, 3450730.412834, -1.703890, 5264104
347877.637516, 3450730.376594, -1.756379, 5259790
347877.556543, 3450730.313316, -1.644042, 5258390
347877.579778, 3450730.249107, -1.663352, 5258389
347877.594147, 3450730.166939, -1.653546, 5258388
347877.843189, 3450730.078819, -1.705198, 5265535
347877.804783, 3450730.022346, -1.634699, 5265534
347878.007004, 3450730.005958, -1.660371, 5271418
347878.012617, 3450730.076774, -1.657433, 5271419
347878.047537, 3450729.867180, -1.645241, 5272900
347877.992792, 3450729.878364, -1.659125, 5269937
347878.057857, 3450729.929268, -1.666600, 5272901
347877.988401, 3450729.919487, -1.641357, 5269938
347878.076160, 3450729.989662, -1.689288, 5272902
347878.054090, 3450730.085457, -1.715990, 5272903
347877.869987, 3450730.016777, -1.634308, 5267013
347877.953405, 3450730.063164, -1.656036, 5269939
347877.926243, 3450729.948311, -1.639610, 5268463
347877.796984, 3450730.374656, -1.706898, 5265539
347877.927366, 3450730.357643, -1.650675, 5268466
347877.890594, 3450730.222999, -1.646757, 5267014
347877.874437, 3450730.317253, -1.710288, 5267015
347877.827690, 3450730.274635, -1.643288, 5265538
347877.985203, 3450730.247185, -1.659343, 5269941
347877.952486, 3450730.159691, -1.651245, 5269940
347877.918384, 3450730.274589, -1.711658, 5268465
347877.898845, 3450730.112663, -1.652460, 5268464
347877.950033, 3450730.389732, -1.690838, 5269942
347877.846117, 3450730.197548, -1.663549, 5265537
347877.841213, 3450730.142723, -1.650779, 5265536
347878.036135, 3450730.376610, -1.873321, 5271423
347878.004635, 3450730.232048, -1.669525, 5271421
347878.028385, 3450730.136390, -1.676751, 5271420
347878.080503, 3450730.271019, -1.830847, 5272904
347878.305990, 3450729.998283, -1.811607, 5280297
347878.240269, 3450730.041527, -1.825245, 5277321
347878.163955, 3450730.087761, -1.870396, 5275868
347878.181782, 3450730.016655, -1.830598, 5275867
347878.241764, 3450729.962639, -1.817303, 5277320
347878.182897, 3450729.954475, -1.819782, 5275866
347878.321287, 3450729.896187, -1.821094, 5280296
347878.376823, 3450730.069298, -1.801778, 5281775
347878.297493, 3450730.062797, -1.820415, 5280298
347878.127411, 3450730.007301, -1.833869, 5274390
347878.384397, 3450729.940285, -1.813006, 5281774
347878.110544, 3450730.162910, -1.773034, 5274391
347878.338703, 3450730.209862, -1.826272, 5280299
347878.332582, 3450730.354072, -1.752132, 5280301
347878.401922, 3450730.382728, -1.748555, 5283274
347878.374256, 3450730.269081, -1.846364, 5281776
347878.136030, 3450730.284401, -1.826993, 5274392
347878.116674, 3450730.349693, -1.866866, 5274393
347878.324232, 3450730.306343, -1.846609, 5280300
347878.178188, 3450730.167000, -1.771706, 5275869
347878.258529, 3450730.302650, -1.769085, 5278830
347878.185604, 3450730.243278, -1.775723, 5275870
347878.246218, 3450730.175300, -1.770004, 5277322
347878.170490, 3450730.340568, -1.861174, 5275871
347878.233936, 3450730.373634, -1.803621, 5277324
347878.285816, 3450730.225105, -1.869296, 5278829
347878.520887, 3450729.859749, -1.751525, 5286310
347878.516992, 3450729.963081, -1.790319, 5286311
347878.444546, 3450729.921760, -1.795063, 5283269
347878.441105, 3450730.109382, -1.795629, 5283271
347878.467647, 3450730.078117, -1.824851, 5284810
347878.486414, 3450730.028145, -1.844077, 5284809
347878.421169, 3450730.315986, -1.765558, 5283273
347878.413637, 3450730.226768, -1.819917, 5283272
347878.484291, 3450730.238823, -1.771937, 5284811
347878.500635, 3450730.126304, -1.792239, 5286312
347878.470234, 3450730.403694, -1.745731, 5284813
347875.005586, 3450736.773659, -1.669552, 5188706
347875.003925, 3450736.919761, -1.652730, 5188708
347875.035358, 3450737.083153, -1.638836, 5188709
347875.019934, 3450736.868843, -1.665458, 5188707
347874.972498, 3450737.132591, -1.635711, 5187345
347874.983755, 3450737.042320, -1.696083, 5187344
347874.900284, 3450737.385902, -1.662682, 5186006
347874.931686, 3450737.304115, -1.724426, 5186005
347874.995773, 3450737.415367, -1.671850, 5187347
347874.956341, 3450737.364570, -1.663390, 5187346
